Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Chicot County, Arkansas",4052,186,14.5,3.4,9,2.8,15.9,4.4,12.8,3.7,13.5,3.3,16.2,3.8,7.4,2.2,5.8,2.4,1.3,0.7,3.7,1.4,33523,2833,53582,5675
"Clark County, Arkansas",8336,347,12.2,2.5,5.4,1.8,16.3,3.2,10.7,2.7,12.3,2.1,15.4,2.9,12.9,2.2,10.8,2.1,1.5,0.7,2.5,1.4,39500,3635,55359,4209
"Clay County, Arkansas",6476,219,7.4,1.8,12.8,2.6,11.6,1.9,12.6,2.3,16.6,3.2,18.2,2.6,10.4,2.1,7.7,1.7,0.9,0.6,1.8,0.9,37933,2667,50667,2944
"Cleburne County, Arkansas",10882,357,5.6,1.2,6.4,1.5,11.2,1.9,14,2.2,17.8,2.9,19.6,2.5,10.5,2,7,1.6,4.5,1.1,3.3,1.5,45563,1620,62308,4054
"Cleveland County, Arkansas",3170,162,6.4,3.2,8,2.4,17,4.4,8.5,2.9,14.8,4.5,16.5,4.1,12.5,3.7,11.4,3.5,3.3,2.1,1.6,1,46349,5671,58565,5025
"Columbia County, Arkansas",8456,438,11.9,3.3,9.3,2.4,12.4,2.5,14,2.6,14.1,3.1,15.8,3.2,8.1,2.3,8.7,2,2.3,1.2,3.5,1.5,37609,5385,60680,8563
"Conway County, Arkansas",8491,285,5.6,1.7,9.3,2.5,15.9,3.2,10.3,2.2,12.8,2.6,17.9,2.5,11.2,2.6,10.1,2.1,3.9,1.2,3,1.7,44456,3578,64116,6254
"Craighead County, Arkansas",42203,589,7.6,1.4,5.2,1,11.3,1.4,11.9,1.4,14.2,1.3,17.7,1.5,11.6,1.2,12.3,1.4,3.8,0.7,4.3,0.7,49730,2148,72373,3727
"Crawford County, Arkansas",24065,446,6,1.2,4.4,1.2,13.2,1.6,12.6,2.1,14.7,1.9,18.4,2.3,12.2,1.9,12.9,1.9,3.6,0.9,2,0.7,48980,2459,64921,3607
"Crittenden County, Arkansas",19021,351,8.6,1.5,7.2,1.3,15.4,1.5,10.7,1.7,14,2,14.4,1.8,11.8,1.6,12.2,1.8,2.9,0.7,2.7,0.7,42384,3232,60582,2586
"Cross County, Arkansas",6568,228,5.6,1.6,8.2,2.3,12.8,3,15.9,2.9,12.1,3.1,15.8,2.9,13.7,2.4,9.7,2.3,4.2,1.6,2,0.9,44379,3976,62721,6498
"Dallas County, Arkansas",2992,219,11.5,3.9,8.6,3.3,16.2,4.3,13.5,3.3,12.8,4.4,18.4,3.9,8.4,3,8.2,3.2,1.9,1.4,0.5,0.5,35134,3896,47094,4423
"Desha County, Arkansas",5059,253,9.9,2.5,9.3,2.9,17.8,4.3,15.3,3.2,12.7,2.4,18.1,3.9,8.7,2.3,5.3,1.6,0.8,0.5,2,1.3,31855,4711,45914,3765
"Drew County, Arkansas",7207,309,10.5,2.8,7.5,2,15.5,3.1,11.3,3,8.7,2.1,15.1,2.7,12.8,2.8,12.9,2.8,3.1,1.5,2.6,1.2,42924,6857,64239,7347
"Faulkner County, Arkansas",45091,604,8.1,1.1,3.9,0.6,10.2,1.1,11.5,1,13.7,1.2,16.9,1.5,12.2,1,14.7,1.1,5,0.9,3.8,0.7,54191,3240,72195,2501
"Franklin County, Arkansas",6671,339,13.2,3.3,10.1,3.2,12.4,3,11.3,2.7,12.4,2.6,17,3,12.5,3.3,7.1,1.8,1.9,1,2,0.9,37561,4612,50895,3382
"Fulton County, Arkansas",5014,281,7.7,2.2,9.9,2,17,4,15.1,3.4,13.7,3.6,14.6,3.1,10.4,3,7.6,2.3,3.6,2.1,0.6,0.8,35274,3269,49134,3888
"Garland County, Arkansas",40906,687,7.6,1,5.6,0.8,12.2,1.4,10.9,1.3,15,1.7,21.6,1.9,11.5,1.3,9.1,1.2,4.1,0.8,2.5,0.5,48150,2999,63905,2681
"Grant County, Arkansas",7049,214,6.3,2.1,8.6,2.4,9,2.1,5.7,1.6,12.1,2.9,19.2,3.3,13.4,3.2,15.1,3.1,8.5,2.6,2.2,1.6,59051,5045,77202,7994
"Greene County, Arkansas",17587,317,8.8,1.8,4.4,1.4,11.6,1.7,10.2,1.7,14.9,2,20.5,2.5,12.4,2.2,13.3,2,2,0.7,1.8,0.6,50083,3363,61175,2769
"Hempstead County, Arkansas",8100,412,8.2,2.7,4.9,1.5,12.6,2.6,15.2,2.9,11.3,2.5,20.7,3.4,12.4,2.4,9.8,2.3,2,1.3,2.8,1.7,45484,6961,59271,5845
"Hot Spring County, Arkansas",12515,365,4.7,1.4,8,2.2,12.2,2.3,12.1,2.1,15.5,2.2,20.7,2.7,10.9,2.6,11.8,2,2.2,1,1.9,0.9,46390,5226,60583,4061
"Howard County, Arkansas",5271,217,5.4,2,6.8,2,21.8,4.6,13.9,3.4,13.9,3,17.5,3.6,8.8,2,7.1,2,2.4,1.2,2.4,1.2,38038,4974,54156,4802
"Independence County, Arkansas",14325,383,7.2,2.1,5.5,1.4,12,2.3,11.9,2.2,15.2,2.3,20.4,2.7,12.3,2.2,10.2,2.1,3,1,2.3,0.9,48972,1818,64333,4650
"Izard County, Arkansas",4911,276,7.9,2.9,8.8,2.5,12.6,2.7,13.8,2.5,16.2,3.4,18.9,3.3,11.7,2.7,5.8,2,2.9,1.5,1.2,1,42818,2769,54821,7489
"Jackson County, Arkansas",6241,268,10.3,2.6,7.7,1.8,15.2,2.9,12.2,2.6,18.1,3.4,16.4,3,8.4,2,8,2.4,1.7,1,2.1,1.2,37885,3141,51504,3749
"Jefferson County, Arkansas",26630,582,10,1.4,8.3,1.4,14,1.7,11.4,1.5,14.8,1.8,17.9,1.9,9.5,1.2,8.9,1.2,2.9,0.8,2.1,0.9,40402,2578,56508,3590
"Johnson County, Arkansas",9792,252,9.5,2.6,5.9,1.3,13.9,2.4,16.1,2.6,16.8,2.4,16.8,2,9.9,2.2,7.1,1.6,2.7,1,1.4,0.7,39346,2879,53927,4605
"Lafayette County, Arkansas",2898,186,13.3,3.5,8.8,2.8,13.8,3.2,15.7,4.1,12.1,3.6,16.1,4.2,8.1,2.4,9.4,3.3,2.3,1.8,0.5,0.5,33763,3590,50292,5803
"Lawrence County, Arkansas",6584,229,7,1.9,7.7,2.3,15.6,2.5,13.8,2.4,13.5,2.3,20.8,2.9,10.3,2,7.8,2.1,2.2,1,1.2,0.5,40587,3950,54192,2936
"Lee County, Arkansas",3202,211,19.1,4.8,12.2,4.3,17.1,4.4,6.2,1.9,9.7,3.6,13.7,3.3,11.5,4,6.7,2.3,1.5,1,2.3,2,27902,7259,53705,15444
"Lincoln County, Arkansas",3598,493,6,2.4,8.5,3.3,14.2,3.7,13.3,3.8,11.3,3.5,25.6,6,9.6,3,6,2,1.6,1,3.8,2.4,46554,6324,59631,6657
"Little River County, Arkansas",5292,279,7.4,2.4,6.4,2.5,14.2,3,9.5,2.7,13.5,3.2,17.6,3.3,13.8,2.7,11.8,2.9,4.1,2,1.6,0.8,48966,5041,62527,4383
"Logan County, Arkansas",8359,304,7.4,1.6,7.1,1.7,12.4,2,11.4,1.7,19.7,2.8,20.4,2.7,10.2,2.3,7.6,1.8,2.2,1,1.7,1,44232,2634,55594,4230
"Lonoke County, Arkansas",27218,400,5.1,1,4.4,0.9,10.2,1.4,8.1,1.2,14.1,1.8,19.4,1.5,14.8,1.8,14.3,1.7,6.2,1.2,3.5,0.9,59278,2637,74344,2629
"Madison County, Arkansas",6045,287,5.1,1.7,6.8,2,18.4,3.4,13.4,3,14.1,2.9,13.3,3,14.4,3,10.9,3,1.7,1,2,1.1,41446,4791,58981,4890
"Marion County, Arkansas",6918,354,10.2,2.6,6.4,1.6,13.2,2.6,16.5,3.1,18.3,2.9,17.9,3.1,8.2,2,6,1.5,1.3,0.6,2.1,1.1,38426,2064,50186,3608
"Miller County, Arkansas",16237,355,10,2,6.2,1.6,13.2,2.1,9.3,2,16.2,2.2,18.7,2.3,8.7,1.6,11.7,1.7,3.7,1.2,2.4,0.7,45391,2830,60341,2989
"Mississippi County, Arkansas",16623,453,8.3,1.7,6.3,1.3,16.6,2.1,10.8,1.8,14.3,2,17.1,2.3,8.5,1.7,11.6,1.9,3.6,1.1,3,1.1,42986,2383,61177,3684
"Monroe County, Arkansas",3234,200,12.8,2.9,8.5,3,16.1,3.8,11.1,3.6,11.5,3.3,14,3.8,13.4,4,8.4,2.3,2.4,1.8,1.9,1.4,38438,8841,52219,4175
"Montgomery County, Arkansas",3706,219,7.4,2.8,6,2,16.1,3.5,13.6,3,16.7,4.1,18.1,4,8.5,2.8,10.1,3,2.2,1.3,1.3,1.2,41165,4295,53040,4037
"Nevada County, Arkansas",3188,294,9.7,4,10.5,4.6,11,3.8,13.5,3.9,12.6,3.8,25.7,6.1,8.1,3,7.2,3,1.4,1.5,0.4,0.4,39946,6166,47288,3851
"Newton County, Arkansas",2996,207,7.4,2.4,7.9,2.6,15.9,3.9,13.6,4.1,14.2,4.3,18,4,13.6,4.1,8.3,2.5,0.6,0.7,0.5,0.5,39542,5755,49877,3822
"Ouachita County, Arkansas",9487,456,10.8,2.7,7.3,2,14.5,2.7,14.2,2.9,13.7,2.9,15.8,2.9,10.2,2.5,9.6,2.5,2.9,1.4,1.1,0.6,38279,2379,51769,3027
"Perry County, Arkansas",3700,205,6.2,2.4,5.9,2.1,16,4.4,13.9,4.3,13.3,3.5,13.9,3.6,10.6,2.9,16.1,4,2.7,1.4,1.4,0.9,44926,4847,60123,4802
"Phillips County, Arkansas",7561,358,16.3,3.4,12.1,3.2,14.2,3.1,8.4,1.7,12.6,3.4,17.7,3.6,7.2,1.9,8.4,2.3,1.8,1,1.4,0.9,33724,5950,46657,3762
"Pike County, Arkansas",4215,174,6.9,2.3,7.9,2.6,14.2,2.3,14.9,2.7,12.7,2.7,18.6,3.1,8.7,2.5,10.6,2.6,2.6,1.2,3.1,1.6,42983,3895,60412,6162
"Poinsett County, Arkansas",9567,262,9.4,2,8,1.9,15.4,2.3,10.6,1.8,15.3,2.5,21.4,2.7,8.9,1.9,8,1.5,2.1,1.1,0.9,0.5,40700,3383,51581,3113
"Polk County, Arkansas",8114,295,6.6,1.6,8,1.8,17.6,3.5,12.2,2.3,17.3,3,17.6,2.7,8.5,1.8,6.7,1.6,2.1,1,3.3,1.3,39084,3076,58156,5622
"Pope County, Arkansas",22863,587,6.4,1.3,5.4,1.2,13.8,1.9,14.4,1.8,13.9,2,18.1,2.1,8.8,1.6,10.6,1.4,4.6,1.1,4.1,1.1,46004,2798,69067,5911
"Prairie County, Arkansas",3755,161,6.2,2.1,6.8,2,12.8,3,13.3,2.9,15.6,3,20.8,3.8,11.6,2.5,6.9,2.5,2.8,1.5,3.1,1.5,42754,3306,58339,5522
"Pulaski County, Arkansas",161652,1374,7.7,0.6,4.7,0.5,10.5,0.8,11,0.7,13.6,0.7,17.6,0.8,11.1,0.7,12.3,0.6,5.1,0.4,6.2,0.4,52930,1369,79408,1764
"Randolph County, Arkansas",7294,304,7.6,2.2,8.1,2.6,14.8,3.3,12.5,2.5,15.3,3.2,19.1,2.6,11.2,3.2,8.5,2.2,1.5,1,1.3,0.8,42844,4576,54699,4138
"St. Francis County, Arkansas",9313,338,14.2,2.7,12,2.3,11.5,2.4,11.1,2.6,18.6,3.9,15.2,2.8,7.5,2,5.4,2.2,2.1,0.8,2.2,0.9,36053,3541,50355,4813
"Saline County, Arkansas",45098,587,3.8,0.8,3.8,0.7,8.4,1.3,8.5,1,11.9,1.3,19.6,1.7,15.7,1.4,18.4,1.4,5.5,0.8,4.3,0.8,66876,2276,80628,2874
"Scott County, Arkansas",4114,208,8.6,2.7,8,2.9,14.9,3.2,11.8,3.5,15.9,4.3,22,4.7,6.2,2.7,9.3,3.3,1.4,1.1,1.7,1.4,42635,3245,51251,4625
"Searcy County, Arkansas",3235,171,8.5,2.9,13,3.8,15.3,3.3,13.2,3.6,19.2,3.4,14,3.3,9.6,3.4,5.6,2.6,0.9,1.3,0.8,0.8,35077,4130,45931,5423
"Sebastian County, Arkansas",52026,567,6.6,0.9,4.8,0.8,11.8,1.2,13.9,1.4,14.9,1.7,18.2,1.4,11.2,1.1,11.9,1.4,3.1,0.6,3.4,0.7,47878,2067,70762,7602
"Sevier County, Arkansas",5690,244,7.1,2.4,7.9,3,11.6,2.9,9.7,2.6,17.3,3.4,20.5,3.1,10.6,2.7,10.6,2.6,1.9,1.1,2.8,1.7,47872,2245,64932,8184
"Sharp County, Arkansas",7315,342,10,2,6.9,1.6,16,2.5,16.4,2.9,16.7,2.8,17.2,2.7,10.2,2.2,3.7,1.3,1.4,1,1.4,0.9,35573,3274,49672,6363
"Stone County, Arkansas",4866,304,10.6,4.1,8.5,3,20.3,4,9.8,2.5,12.6,3.2,21.2,4.5,8.2,2.9,6.2,2.5,1.6,1.2,1.1,0.9,36067,4760,50124,6383
"Union County, Arkansas",15855,405,10.4,1.8,6.6,1.6,11.2,1.7,12.8,2,13.5,1.8,15.5,2.1,10.9,1.9,11.4,1.8,4.8,1.3,3.1,1,45293,3346,64800,4668
"Van Buren County, Arkansas",7220,292,7.9,2.4,6.6,1.8,14.2,2.5,14,3.1,17.6,2.7,18,2.9,10.3,2.3,7.8,1.8,2.3,1.2,1.3,0.8,40442,2813,52379,3798
"Washington County, Arkansas",89094,747,7.6,0.8,4.1,0.5,9.9,1,11.1,1,14.7,1.1,18.8,1.1,10.5,0.9,12.9,1.1,4.9,0.7,5.7,0.7,52380,1270,76611,2459
"White County, Arkansas",28903,527,7.2,1.2,5.3,1,14.9,2,12.8,1.6,14.8,1.7,17.8,1.8,10.1,1.3,11.6,1.7,2.8,0.7,2.8,0.9,44000,1849,61844,3685
"Woodruff County, Arkansas",3002,176,11,3.4,7.7,2.4,18.4,3.8,10.7,2.9,12.7,4,13.1,3.7,14.8,3.4,5.8,2.5,1.1,1.1,4.6,2.4,40331,6927,56210,5770
"Yell County, Arkansas",7797,264,6.1,1.7,5.6,1.6,12.1,2.4,12.1,3.1,15.1,2.4,21.3,2.9,13.3,3.1,10.8,2,2.5,1.2,1.3,0.7,47981,5884,60848,5155
"Alameda County, California",573174,1395,4.1,0.2,3.3,0.2,5.1,0.3,5.2,0.2,7.1,0.3,12,0.3,11.2,0.3,17.9,0.4,12.6,0.3,21.7,0.3,104888,1041,138489,1154
"Alpine County, California",397,79,1.5,1.4,1.3,1.2,6.8,3.7,12.1,6.3,6.5,3.4,18.6,7.9,10.3,5.3,28.5,11,7.1,5.3,7.3,5.4,85750,23875,107737,20722
"Amador County, California",14844,451,4.7,1.4,4.2,1.3,9.2,2.4,9.9,1.7,10.6,2.1,19.3,3.2,13.8,2.4,16.2,2.4,5.6,1.4,6.6,1.6,65187,4225,85184,6128
"Butte County, California",83879,885,6.6,0.7,6.3,0.7,11.3,0.9,10.3,0.8,11.8,0.8,16.1,1,11.7,0.9,13.5,1,6.1,0.7,6.3,0.7,54972,2501,79233,2597
"Calaveras County, California",16958,557,4,1.2,3.7,1.3,8.3,1.9,9.5,1.7,12,2,18.1,2.8,14.6,1.9,15.6,2.4,8.1,1.8,6,1.4,67054,4535,84164,4165
"Colusa County, California",7329,163,4.8,1.2,6.7,2.2,10.9,2.4,9.9,2.1,11.8,2.8,19.7,3.3,12.6,2.6,13.6,2.9,5.3,1.5,4.8,2,59427,5384,77326,6015
"Contra Costa County, California",398299,1065,3.4,0.2,2.8,0.3,4.5,0.3,5.1,0.3,7.4,0.3,12.8,0.4,12.3,0.4,18.9,0.5,12.5,0.4,20.5,0.5,103997,1239,141278,1695
"Del Norte County, California",9805,313,6.6,1.8,7.6,2.2,10.5,2.1,11.9,2.2,13.4,2.5,15.7,2.8,12.4,2.6,14.7,2.5,3.6,1.4,3.6,1.5,49981,5145,67290,4084
"El Dorado County, California",73078,874,3.8,0.6,3.5,0.5,6.9,0.9,6.5,0.8,9.6,1,14.9,1.2,12.4,0.9,18.6,1.1,9.7,0.9,14.1,0.9,83710,2228,113718,3338
"Fresno County, California",310097,1237,6.6,0.4,5.5,0.4,10.4,0.5,9.7,0.5,12.4,0.5,17.1,0.5,12.1,0.4,14.2,0.4,6.3,0.4,5.7,0.3,57109,929,79175,1111
"Glenn County, California",10216,234,5.5,1.7,8.3,2.4,11.1,2.8,6.3,1.6,17.3,3.3,19.1,3.1,12.5,2.3,13.5,2.5,3.5,1.3,2.9,0.9,51682,3745,65185,3393
"Humboldt County, California",54120,782,6.8,0.8,7.5,0.8,11.4,1.4,11.5,1.1,13.3,1.1,16.5,1.1,11.2,1,12.4,1.3,4.8,0.7,4.5,0.7,49235,2278,70922,2625
"Imperial County, California",45768,812,7.5,1.3,8.6,1.3,14,1.7,8.9,1.3,14.5,1.3,14.8,1.3,12.3,1.4,12.9,1.4,3.6,0.6,2.9,0.6,46222,2499,63824,2484
"Inyo County, California",7954,238,4,1.3,5.9,1.8,9.2,1.8,11.3,2.1,12.4,2.1,21.2,3.5,12.5,2.3,14.4,2.2,5.7,2,3.3,0.9,59296,4257,73561,3644
"Kern County, California",273556,1327,6.4,0.4,5.9,0.4,10.1,0.5,10.3,0.5,13.2,0.5,17.3,0.7,12.6,0.7,13.7,0.5,5.8,0.3,4.7,0.3,54851,1087,75161,1219
"Kings County, California",43604,423,5.5,0.9,3.5,0.7,8.1,1,9.7,1.1,14.1,1.6,19.4,1.7,14.8,1.3,14.9,1.5,5.9,0.8,4.1,0.6,61556,1585,75449,2354
"Lake County, California",25508,604,6.4,1.2,7.4,1.3,10.4,1.7,11.5,1.7,15.2,1.9,16.6,1.9,11,1.5,11.7,1.6,5,1.3,4.8,1.2,49254,1891,72862,4864
"Lassen County, California",9172,356,3.6,1.1,5.1,1.6,10.9,1.9,9.4,1.9,14.5,2,21.4,2.8,12.8,2.1,15.2,2.4,4.9,1.3,2.3,0.8,56971,3441,69249,2981
"Los Angeles County, California",3332504,5051,5.5,0.1,4.6,0.1,7.8,0.1,7.6,0.1,10.7,0.1,15.8,0.2,12.3,0.1,16.3,0.1,8.2,0.1,11.1,0.1,71358,336,103220,482
"Madera County, California",44479,505,5,1,4.3,0.8,7.9,1,9.9,1.2,14.6,1.5,17.9,1.4,14.3,1.4,16.6,1.3,5.3,0.8,4.2,0.7,61924,2695,77625,2283
"Marin County, California",104900,669,3.1,0.4,2.3,0.4,4.6,0.5,4.5,0.5,6.8,0.6,11.4,1,9.5,0.8,16.4,1,11.5,0.7,29.8,1,121671,3166,181737,4073
"Mariposa County, California",7846,409,5.6,1.9,6.1,2.3,11.5,2.4,14.5,3.5,11.1,2.4,19.8,3.8,13.3,2.6,10.1,2.1,5.2,1.6,2.9,1.4,50960,3491,64323,4275
"Mendocino County, California",34164,680,5.1,1.1,6.9,1.1,10.5,1.5,10.9,1.3,13.5,1.5,18.7,1.5,10.8,1.3,13.5,1.2,5.2,0.9,4.9,0.8,52915,2375,74102,3206
"Merced County, California",81306,615,5.5,0.6,5.2,0.6,9.2,0.9,9.7,0.9,15.3,1,19.9,1.1,12.1,0.8,13.7,0.8,4.9,0.6,4.7,0.5,56330,1450,76432,1739
"Modoc County, California",3594,237,6.3,2.2,3.6,1.6,11.1,3,17.3,5.7,10.4,2.5,23.6,4.6,13.5,3.6,10.4,3.3,3.2,1.5,0.7,0.7,51250,4505,59138,3537
"Mono County, California",5196,538,2.9,1.6,2.7,1.7,5.3,2.9,4.8,2.4,13.8,4.8,27.4,6.2,19.4,6.3,12.7,4.4,5.1,2.6,5.8,2.7,64924,12575,86977,11113
"Monterey County, California",128003,965,3.2,0.4,2.4,0.3,6.9,0.5,7.6,0.6,11.1,0.7,17.5,0.7,14.7,0.7,17.1,0.8,8.3,0.5,11.1,0.7,76943,1395,104485,1954
"Napa County, California",48484,532,3.3,0.6,2.7,0.5,5.2,0.6,6.1,0.8,9.6,1,14.4,1.2,11.9,1,18.6,1.2,11.8,0.9,16.4,1,92219,2624,129566,4915
"Nevada County, California",40917,714,4.2,0.8,4,0.9,8.3,1.1,8.5,1.2,12,1.4,16.5,1.6,13.1,1.3,16,1.4,7.6,0.9,9.8,1,68333,3075,96245,3743
"Orange County, California",1040001,2374,4.1,0.2,2.7,0.1,5.1,0.2,5.8,0.2,8.3,0.3,14.1,0.2,12.5,0.2,19.4,0.3,11.3,0.3,16.7,0.3,94441,866,127056,1115
"Placer County, California",145714,730,3.7,0.4,2.7,0.3,5.6,0.4,6,0.5,8.1,0.6,13.9,0.6,13.2,0.6,19.3,0.8,12,0.6,15.4,0.7,93677,1470,120740,2167
"Plumas County, California",8332,278,5.7,1.8,6.1,1.4,8.6,2,9,2.7,15.1,2.5,16.1,2.9,12.8,2.4,15.7,1.9,6.5,2,4.3,1.5,57233,5514,76142,4558
"Riverside County, California",736413,2254,5.2,0.2,3.6,0.1,7.8,0.2,7.9,0.2,11.1,0.3,17,0.4,12.9,0.3,17.6,0.3,8.5,0.3,8.4,0.3,70732,673,93563,879
"Sacramento County, California",547519,1431,4.8,0.2,4.2,0.2,7.2,0.3,7.8,0.3,11.2,0.3,17.4,0.4,13.2,0.4,17.6,0.4,8.4,0.3,8.2,0.2,70684,700,93028,877
"San Benito County, California",18389,178,2.4,0.7,2.2,0.8,4.9,1.1,5.7,1.4,10.4,1.6,18,1.9,13.3,1.6,21.4,2.5,10.4,1.7,11.2,1.5,85808,5575,108229,4906
"San Bernardino County, California",640090,1894,4.7,0.2,4.2,0.2,8.1,0.3,8.5,0.3,12.2,0.3,18.3,0.4,13.7,0.4,16.3,0.3,7.6,0.3,6.3,0.3,65761,602,85327,991
"San Diego County, California",1130703,2942,4.1,0.2,3.2,0.1,6.2,0.2,6.8,0.2,9.7,0.2,15.8,0.3,12.7,0.3,18.4,0.3,10.1,0.3,12.9,0.3,82426,734,111241,1050
"San Francisco County, California",362141,1924,4.6,0.4,4.8,0.3,5.4,0.3,4.6,0.3,5.9,0.4,9.8,0.4,8.7,0.4,15.2,0.5,12,0.5,29,0.6,119136,2130,167663,2436
"San Joaquin County, California",231092,1027,5,0.4,3.7,0.3,8,0.4,8.4,0.4,11,0.5,17.8,0.6,13,0.5,17,0.6,8.4,0.5,7.7,0.5,68628,1259,90974,1764
"San Luis Obispo County, California",106244,958,4.7,0.4,3.5,0.5,6.6,0.7,7,0.7,10.1,0.7,16.4,1,13.3,0.9,19.3,1,8.9,0.7,10.2,0.7,77948,1751,100044,2150
"San Mateo County, California",263351,1075,2.6,0.2,2.1,0.2,4,0.3,4,0.3,6,0.3,10.4,0.4,10.4,0.5,17.3,0.5,13.1,0.5,30.1,0.6,128091,2077,182158,2211
"Santa Barbara County, California",148309,891,4.8,0.5,3.2,0.3,5.8,0.5,6.1,0.4,11.6,0.6,16.3,0.8,12.8,0.7,17.4,0.7,8.7,0.7,13.2,0.5,78925,1565,111731,1956
"Santa Clara County, California",635314,1803,2.8,0.2,2.3,0.1,4,0.2,4,0.2,6,0.2,10.1,0.3,9.4,0.3,17.5,0.4,13.5,0.3,30.3,0.4,130890,874,174331,1513
"Santa Cruz County, California",96275,747,4.4,0.6,3.6,0.5,6.3,0.8,5.5,0.6,8.8,0.8,12.8,0.9,12.9,1,16.9,1,12.1,1,16.8,0.9,89986,2417,123689,3151
"Shasta County, California",70845,699,5.5,0.7,6.4,0.7,9.6,0.7,9.5,0.9,13.5,0.9,17.6,0.9,13.5,0.9,13.3,0.9,6,0.6,5.2,0.5,57139,1761,77167,1972
"Sierra County, California",1250,155,5.1,4.5,7.4,5.2,9,4.5,12.2,6.9,12,7.6,18.2,8,13.7,5.7,11.1,4.8,9.2,5.3,2.1,2.1,52103,5715,72924,11904
"Siskiyou County, California",19195,407,7.2,1.2,6.3,1.2,13.1,1.6,10.3,1.2,15.8,1.8,18.9,1.8,10.2,1.3,12.3,1.7,3.7,0.8,2.3,0.7,47403,2202,65853,5427
"Solano County, California",151191,723,3.6,0.4,2.5,0.3,5.1,0.4,6.1,0.6,10,0.6,16.5,0.8,14.8,0.8,20.3,0.8,10.9,0.7,10.2,0.6,84638,1362,104791,1825
"Sonoma County, California",188958,873,3.7,0.3,2.9,0.3,5.7,0.5,6.4,0.5,9.3,0.5,15.5,0.6,14.1,0.5,19.3,0.7,10.9,0.4,12.3,0.6,86173,1168,113067,2088
"Stanislaus County, California",174826,884,4.3,0.4,4.6,0.4,8.6,0.6,9.1,0.6,13.2,0.8,18.6,0.9,13.3,0.7,16,0.7,6.6,0.5,5.8,0.5,62873,1328,82369,1552
"Sutter County, California",32586,259,4.8,0.7,4.2,0.8,7.5,1.1,9.1,1.2,13.6,1.4,18.2,1.6,13.6,1.4,16.4,1.4,6.1,0.8,6.5,0.9,63502,2681,86703,4265
"Tehama County, California",24661,418,6.1,1.4,7.4,1.4,12.6,1.6,10.9,1.9,14.2,1.9,16.5,2.1,12.8,2.1,10.9,1.5,4.4,1.1,4.2,1.1,48895,2550,74237,13337
"Trinity County, California",5896,227,10.7,3.3,7.4,2.3,14.3,4,11,2.6,16.3,3.1,17.3,3.7,7.9,2.7,9.6,2.7,4.2,1.7,1.3,0.7,41780,5371,56776,6469
"Tulare County, California",139044,793,6.2,0.6,5.4,0.5,11.2,0.7,10.4,0.9,14.2,1,17.7,1,12.8,0.7,12.9,0.8,5.1,0.5,4.1,0.4,52534,1235,72092,1551
"Tuolumne County, California",22937,637,4.6,1,7.4,2,8,1.2,9.2,1.5,12,1.8,17,2.1,13,1.9,16.8,2.1,5.8,1.2,6.1,1.3,60509,4193,83401,4673
"Ventura County, California",271639,1129,3.3,0.3,2.5,0.2,5.4,0.3,6.2,0.3,9.5,0.4,14.4,0.6,14.1,0.6,19.3,0.5,11.1,0.5,14.1,0.5,89295,1119,117576,1587
"Yolo County, California",74614,619,7.3,0.8,4.7,0.6,7.1,0.7,6.3,0.8,9.2,0.8,16.1,1.1,11.6,0.9,16.2,1,10.2,0.8,11.2,0.8,73746,1893,103461,3174
"Yuba County, California",26434,401,5.7,1.2,5.8,1,9,1.4,9.6,1.5,13.3,1.8,17.2,1.9,12.7,1.4,16.9,1.7,6.7,1.1,3.1,0.8,59424,2847,73030,2864
"Adams County, Colorado",167290,666,3.6,0.4,2.7,0.3,6.3,0.4,7.4,0.5,11.5,0.7,19.3,0.8,15.4,0.8,19.8,0.7,8.1,0.5,6,0.5,73817,1593,90434,1605
"Alamosa County, Colorado",6240,225,7.1,2.3,8.3,2.4,10.8,3,14.8,3.6,19.5,3.8,16.9,3,7.6,2.2,10.5,3,1.9,0.8,2.7,1.3,41121,3437,58224,6264
